Index,RelX,RelY,Score,Time(s),MatchTime,IsMisfire
1,-0.06058575956797471,-0.23108997325191663,8.8,3.8,00:26,0
2,-0.09843723522203014,-0.009556187620737075,10.2,1.5,00:42,0
3,-0.10395347299837382,-0.15772408012594769,9.3,4.4,01:12,0
4,-0.1810181725815428,-0.17083217260000777,8.7,2.1,01:32,0
5,0.015453221938520556,-0.1480959416449987,9.7,1.8,01:57,0
6,0.13318056493911024,0.06658939196673502,9.7,3.3,02:32,0
7,-0.12833713482145723,-0.053129933425698016,9.8,2.0,03:00,0
8,-0.06441707797641753,-0.045559302727106586,10.4,3.0,03:35,0
9,0.10738625461925379,-0.01809426204211731,10.1,3.5,04:07,0
10,0.07853405719670137,0.007590247705130471,10.4,3.8,04:32,0
11,-0.13024496708286804,-0.04826446466690181,9.8,1.8,04:52,0
12,-0.12349739937017709,-0.03692698672790658,9.9,2.4,05:25,0
13,0.11639791625338212,0.024263863910569738,10.0,3.3,05:50,0
14,0.0,0.0,0.0,11.3,06:28,1
15,-0.038744573393603245,0.04436291280504133,10.6,3.6,06:57,0
16,0.055549962983532916,-0.1805475328342321,9.3,2.5,07:23,0
17,0.2447459610273854,-0.20444222792950958,8.0,2.1,07:40,0
18,0.0,0.0,0.0,10.9,08:23,1
19,0.0,0.0,0.0,15.6,08:57,1
20,0.0,0.0,0.0,17.3,09:31,1
21,0.06081758275082196,-0.19985102358593754,9.1,3.5,10:03,0
22,-0.051973041185849334,0.23317807141730543,8.8,3.8,10:32,0
23,0.07937536812867076,-0.2777818585409025,8.3,2.3,10:49,0
24,-0.2657376190327052,-0.11334340664912443,8.3,3.5,11:17,0
25,0.0,0.0,0.0,11.5,11:57,1
26,-0.02632824217341923,-0.01191778771659359,10.9,1.9,12:16,0
27,0.25418179745382086,0.049201868289170086,8.6,3.9,12:43,0
28,0.0,0.0,0.0,14.8,13:15,1
29,0.04627671443199762,-0.15201209064209123,9.6,2.3,13:42,0
30,-0.1706607105962466,-0.13708439684655646,9.0,2.2,14:09,0
31,0.00573261932184464,-0.23883121043052727,8.8,2.4,14:35,0
32,0.17093569446157175,0.10169659954462701,9.2,4.3,15:07,0
33,-0.10013329128497554,-0.21690212994905841,8.8,2.5,15:44,0
34,0.0,0.0,0.0,14.2,16:29,1
35,0.17524644208719728,0.17674811041643038,8.7,3.5,17:03,0
36,0.05715321316805554,-0.014237985270634692,10.6,2.4,17:33,0
37,0.058277706449598295,0.11497355752943567,9.9,2.8,18:03,0
38,0.017808736132486257,0.2081395179137386,9.1,1.6,18:38,0
39,0.12993507094409099,-0.12297189654044557,9.4,4.1,19:10,0
40,0.16185826016478402,-0.2271279674906397,8.4,2.2,19:32,0
41,0.17955445383882893,0.05868055986985683,9.3,3.2,20:04,0
42,0.08869425978475033,-0.006044690334104359,10.3,4.4,20:41,0
43,0.186339699810279,-0.030995584760012185,9.3,1.5,21:09,0
44,0.0484005421303406,-0.006971192257364268,10.7,3.2,21:47,0
45,-0.14364691398187107,-0.23906228080457387,8.4,3.1,22:08,0
46,-0.10872777412874965,-0.06923497044852117,9.9,2.6,22:37,0
47,0.13727246668887144,0.12976702157772085,9.3,3.9,23:08,0
48,0.08435679243485693,0.09746353969614724,9.9,3.2,23:40,0
49,0.0,0.0,0.0,21.2,24:36,1
50,0.0,0.0,0.0,16.6,25:13,1
51,-0.04734287793419457,0.20346464535370265,9.1,1.8,25:40,0
52,0.037125916215847626,-0.2055745031494273,9.1,2.1,26:05,0
53,0.0,0.0,0.0,20.6,26:44,1
54,0.15788807530111112,0.19241248836214014,8.7,4.1,27:13,0
55,0.05539207891681642,0.02002317640318814,10.6,2.4,27:32,0
56,0.4069042221019361,0.04035051468839353,7.1,2.7,28:07,0
57,0.05892760941091472,0.09157918349229091,10.1,1.5,28:29,0
58,0.25400414275482686,-0.08825590894317258,8.5,3.2,28:58,0
59,-0.08109715682568287,-0.07268054178933048,10.1,1.8,29:24,0
60,0.15034697644177838,0.2466961626673899,8.3,3.0,29:43,0
61,0.01618318738812197,0.05663315677199125,10.6,4.4,30:12,0
62,0.0788321735968642,0.1143621371171152,9.8,3.8,30:50,0
63,0.022821871779483447,-0.031501939122549484,10.8,3.8,31:09,0
64,-0.14838264750192362,0.01240160958585267,9.7,1.8,31:38,0
65,-0.044377739638069715,0.19388611663710154,9.2,1.5,32:14,0
66,0.056914775280035655,0.03883192442852976,10.5,3.7,32:33,0
67,-0.0562161632617027,-0.055362017558372875,10.4,2.0,33:03,0
68,-0.22916207499688504,-0.09713883560719722,8.7,3.7,33:22,0
69,-0.0525345555778306,-0.026633258723630423,10.6,3.1,33:58,0
70,0.07009735966620302,0.14260284067236176,9.6,2.5,34:22,0
